word,frequency
festival,383
screens,77
their,11335
truly,1716
moving,785
picture,1366
award,355
explores,74
journey,456
artistically,37
expressing,32
hope,1447
respect,450
positive,449
values,464
life,5696
gave,1185
filmbr,775
part,3732
20th,142
time,11478
rich,593
gentlemen,66
people,8587
participate,47
caddies,1
country,882
clubs,60
backdrop,143
basedonatruestory,1
unfolds,98
boy,1383
takes,2050
world,3332
vardonbr,1
inspirational,46
odds,103
francis,120
labeouf,9
holes,373
gets,3037
compete,60
golfers,8
britain,121
illprepared,5
hilarious,1073
motivational,9
steals,231
appears,801
handicaps,5
displays,124
courage,146
spirit,429
heroism,26
humility,11
eventbr,14
we,9313
learn,679
lot,4050
years,4198
example,1274
use,1749
small,1465
wooden,318
layout,12
short,1874
manual,15
scoreboard,6
swinging,47
pipes,17
mouths,52
terrible,1635
conditions,100
greens,19
fairways,1
canceled,65
torrential,5
rainbr,5
stunning,361
art,1060
direction,1290
editing,719
big,3348
stars,1351
somehow,684
believablebr,36
adds,370
inventory,5
vein,71
remember,1599
titansbr,1
fyi,9
there,15206
pictures,380
web,113
listing,25
past,1114
winners,40
back,4465
70,87
maybe,2327
reading,631
into,8715
too,7275
wonder,1041
hand,952
hongsheng,8
developing,91
mean,1566
told,1055
casting,467
main,2332
would,11889
heavy,317
writing,1175
documenting,5
etc,1060
biasedbr,2
buthis,1
may,3198
getting,1680
details,401
hongshengs,6
view,917
been,9022
perspectives,37
they,20576
transformation,93
werent,458
so,19617
messed,70
drugs,394
everythingbr,25
consistencies,2
jesus,172
christ,95
pose,36
appear,586
martyr,8
sacrificed,35
metaphorically,6
hes,2819
obviously,1154
still,5179
cast,3467
familys,70
happiness,128
huhbr,9
lowest,82
points,653
maintaining,27
superiority,20
complex,419
lies,366
grass,59
coming,1068
down,3446
contemplates,5
visions,67
dragons,43
window,279
celebrates,15
freedom,232
bicycle,36
outstretching,1
arms,186
head,1443
cocked,8
sidebr,18
off,5419
now,4468
hero,922
point,2827
career,888
vulnerable,82
come,3027
somewhere,437
middlebr,7
device,166
ted,191
demmes,7
blow,218
empathizes,2
shown,1022
flawed,161
herobr,11
quitting,15
zuotian,1
recommended,487
mostly,894
haunting,183
soundtrack,857
superb,614
landscapes,73
feeling,1040
presume,23
house,1736
jia,16
actually,4206
stage,530
setting,599
feel,2803
merely,325
difficult,657
parts,1180
felt,1338
qualities,206
certainly,1502
different,2243
exposing,29
aspect,400
original,2886
achievement,102
quite,3523
convincingly,98
playing,1525
themselves,1103
definitely,1517
unique,599
cultural,154
aspects,370
leave,1026
disappointed,849
familiarity,32
chinese,275
oriental,25
culture,446
will,8848
answer,358
questions,475
regarding,186
parentchild,4
relationships,350
stigma,10
any,7367
drug,516
found,2572
interesting,2973
note,641
beijing,19
fashion,305
music,3283
reek,9
90s,195
though,4031
2001,202
cheesy,651
sometimes,1083
beatles,48
crap,945
whatever,635
twenty,259
television,843
check,708
amazing,1162
fact,3339
real,4490
portray,229
experience,1081
like,19348
theyre,1218
almost,3080
living,997
again,3639
plays,2124
quit,79
everything,2439
except,1057
struggling,140
depression,93
searching,152
meaning,476
angry,320
everyone,2110
especially,2379
care,1302
wanna,138
cry,343
suffer,156
understand,1638
problem,1328
why,5070
keep,1627
shut,150
dark,1334
room,833
walks,219
bike,47
rides,90
others,1589
documentary,909
overall,1420
deserved,258
oscar,563
dad,351
preordained,1
identity,226
withdrawal,14
rural,120
guy,3113
success,556
must,3112
struck,145
artist,251
face,1454
appeal,375
separate,177
roots,72
far,2897
surpass,16
peasant,32
troubles,69
arise,34
demands,132
departure,49
personal,644
ensuing,21
splits,13
confusion,145
between,3161
imaginary,81
dissonance,2
ordinary,282
heroic,122
stuff,1174
gut,45
complete,1005
escape,564
self,382
hongshen,4
slips,38
latter,306
long,3156
lonely,156
road,473
grimbr,1
exceptionally,82
convincing,488
particularity,4
honesty,103
sensuousness,4
zhang,28
yang,23
bring,770
clichés,313
stereotypes,259
rigid,23
gender,50
roles,938
requisite,29
sex,1620
romance,620
violence,980
street,577
language,490
boot,118
assumed,63
money,2056
float,24
acts,390
whims,3
midtwenties,1
talented,534
impressionable,17
vain,62
idealistic,40
emotionally,219
starved,15
perfect,1500
recipe,39
enablers,1
soon,1085
cool,1052
idolized,7
youth,228
hot,634
nineties,24
always,3065
fashionable,25
needs,760
extremes,27
metal,153
adopts,19
earrings,10
scarf,4
means,730
arts,298
friendsand,2
kind,2715
offer,364
challenge,138
input,21
selfcriticism,1
dulled,4
immediacy,13
opens,226
doors,125
irrational,28
selfdoubt,3
selfhatred,3
act,1188
phonyand,1
readily,36
available,460
counter,55
says,1132
get,8992
wanted,1357
shallow,219
becomes,1264
via,191
hongshens,4
disengagement,1
false,169
gradual,13
intermittentand,1
doggedly,7
solitude,16
space,859
meditative,11
thinking,1094
speech,249
refusal,22
replace,79
therapy,31
abstract,56
deal,783
change,875
occurs,114
outdoorsnot,1
idealized,13
locations,296
mainly,377
green,359
patches,11
freeways,3
bridges,121
highrises,1
physicality,10
romantic,759
ritan,1
park,504
spontaneous,28
drenching,1
sun,194
rain,143
grassy,8
picnics,4
sky,122
patterns,31
kites,12
absorb,24
musing,3
specific,145
drifts,16
order,955
arrive,121
picking,115
cues,34
realistic,730
started,899
period,674
retrospect,48
contact,168
seems,3444
start,1679
lanky,3
body,878
projects,100
dancers,63
positioning,9
clumsy,105
graceful,22
humorous,256
telling,531
current,285
circumstance,30
mind,1773
lacking,270
legs,127
compel,5
walk,421
central,367
comeback,44
rejection,34
punctuate,5
determination,57
smashes,9
videos,169
tv,2733
bangs,10
till,209
bloody,308
john,1930
lennon,9
forever,364
poster,127
iconic,44
antiestablishment,5
artistbut,1
viable,11
guide,162
knows,909
imagines,27
johns,60
son,1140
yoko,6
ono,1
mary,303
intercessor,1
darkness,231
trouble,484
wrenching,38
shaking,67
pain,362
parkhallucinatory,1
skitzoid,1
ordeals,9
speaks,198
lennons,4
influence,197
showing,809
me,10319
mental,251
institute,28
lifesaving,3
apples,18
resistance,42
nourishment,1
reflect,96
presence,421
need,1731
rehang,1
heros,68
redecorated,1
roombr,24
spiriting,1
fathers,194
grounding,8
users,60
drink,180
fegsens,1
differences,107
underwrites,1
secure,36
accepts,44
line,1664
peasants,20
exercises,19
control,460
habit,58
recognizable,58
drives,171
treat,250
sounding,87
board,306
anger,153
rage,100
humor,1367
blue,485
jeans,26
passivity,9
crazed,63
violent,478
exchange,108
accuses,15
liar,63
fake,478
exposes,25
acted,603
bullshit,19
emphatic,4
my,12320
softly,10
replies,54
cant,3765
your,5748
teachers,87
additional,69
help,1764
sister,705
inmates,45
rehab,18
inst,1
tangible,15
connection,280
whole,3024
term,178
effects,2239
recede,3
indebtedness,1
replaces,27
pride,108
trust,277
distrust,16
integrity,82
banishes,1
cloud,58
edges,40
soften,12
repeats,34
endlessly,54
released,974
strapdown,1
incurred,1
refusing,35
medicine,64
home,1736
lard,5
soap,251
rare,373
friendships,34
begin,639
evident,107
poignant,148
backtoback,9
fence,53
musician,71
buddy,280
chance,1008
become,1394
bound,142
gained,58
without,3143
loss,256
endi,6
loveskateboardingdrawing,1
memusic,1
rehablife,1
supportand,2
drugit,1
changed,452
lifei,3
totally,1429
relate,272
wish,960
saythis,3
left,2001
speechless,24
honesti,1
ifc,27
channeli,2
usually,959
hate,824
having,2372
satellite,46
perk,8
satellitethe,1
channel,484
never,6449
movieim,1
international,243
dont,8427
translating,14
linesi,2
obvious,960
barrier,40
leaves,660
believe,2459
thats,3598
saying,988
guessi,1
got,3343
moviegood,2
thing,4516
stayed,172
instead,2061
bedwell,1
earlier,573
usualloli,1
enjoy,1733
hell,1081
love,6356
didi,7
type,1041
caps,14
rules,219
guess,1337
shouting,82
excitement,177
filmi,20
give,3299
three,2265
thumbs,107
upbr,123
blew,93
away,2609
fortunate,71
attend,53
premier,26
myself,1135
deeply,275
bad,8792
choices,181
mesmerizing,53
attention,867
detail,344
impressivebr,14
agree,559
comments,741
question,620
throwing,177
despicable,49
characterbr,85
spolier,4
alert,60
hoping,379
dylan,95
killed,1166
william,562
spoilerbr,54
keira,35
knightley,31
radiate,9
innocence,156
screen,2225
sienna,28
millers,25
worthybr,4
sure,2552
production,1698
nominated,194
awards,187
network,244
underground,185
watched,2243
pure,529
hold,526
water,633
worth,2376
watch,6790
rough,181
shape,119
deny,49
matter,1237
devotion,39
metaphor,79
helplessness,18
feels,705
times,2999
situations,482
wanting,330
disliking,17
loophole,5
loopholes,8
opinion,865
foreign,280
poorly,639
america,592
settings,134
take,3435
trip,409
please,957
youre,1894
finest,252
ive,3289
seen,6526
commentators,40
lengthened,2
due,867
density,4
insight,181
offers,336
irony,132
comment,611
merit,123
noonan,10
carries,178
thankless,26
perfectly,626
preferred,71
narrator,99
less,1657
gravitas,14
lent,15
pitch,117
read,1803
whose,912
bar,325
recognize,210
stupidity,165
banality,18
forge,6
contrary,114
bitter,135
defenders,11
beautiful,1992
fwiw,2
picasso,8
reference,159
since,2795
believed,182
another,4199
whore,52
assume,227
until,1697
drawings,46
12,490
finer,27
draftsman,1
brilliant,1173
age,837
artists,160
lifetime,182
understood,170
immediately,450
became,635
known,1002
title,1462
unlike,546
stories,924
war,2185
isnt,3127
sticky,22
pink,153
rose,200
thorns,4
four,887
leading,561
balance,147
tragic,308
downtoearth,22
lyrics,121
cabaretchansonesquire,1
songs,755
sung,85
b,592
herself,666
drag,250
deeper,182
place,2216
brutal,279
amongst,171
peaceful,45
biopic,73
ís,1
consequently,47
thomas,372
triangular,6
relationship,938
steeped,8
joy,282
jealousy,75
visualized,8
angle,155
bohemian,16
bombings,5
germans,185
floating,94
bedrooms,12
pubs,5
bars,72
independent,303
soldier,324
charismatic,100
poet,53
constantly,411
swept,47
feelings,391
twisted,226
hangs,57
somewhat,865
loosely,129
rest,1650
say,5292
touched,159
painful,387
addiction,94
addicted,56
anything,2760
alcohol,85
pornography,66
cannot,998
hurt,379
important,912
1,1228
priority,15
asian,233
guts,129
circle,100
gather,48
together,2123
person,1522
loves,414
himher,13
fun,2588
elements,712
surrounding,149
touching,369
watching,4480
bmovie,226
imitate,37
genuineness,6
wife,1753
health,121
therapist,20
typical,747
stand,617
chick,229
unbelievable,363
want,3584
someone,2154
sorry,799
spoiler,357
plus,628
individuals,136
including,1007
institution,51
realbr,28
profession,60
rotterdam,5
2002,85
seemed,1339
popular,492
interestingbr,44
environment,172
withdrawing,1
facts,218
moreover,94
partly,86
happen,1000
methods,78
highlighting,17
towards,621
effectivebr,14
late,1087
eighties,104
later,2011
frozen,83
suzhou,1
river,219
paths,41
addict,67
looses,30
drive,329
productive,19
making,2393
futile,33
becoming,327
guitar,96
virtuosobr,1
writer,725
scenario,165
choose,240
emphasize,45
behavior,269
horror,3347
struggle,290
treats,89
around,3453
himbr,221
draws,107
tiring,37
pattern,58
caught,578
dragging,40
try,1722
interviews,206
wellbr,229
cycling,2
bejing,1
partying,33
lighten,22
tone,383
events,792
easily,754
interested,634
serious,1037
modern,813
strong,985
recommendation,74
hunted,47
french,883
porn,323
star,1691
brigitte,35
lahaiein,1
factmany,1
members,563
slowmoving,28
frantic,46
filmingthis,1
rollins,11
lesbian,213
vampire,491
flicksbut,1
memorable,648
lips,95
blood,981
fascinationlahaie,1
amnesiac,11
hitchhiker,28
she,11409
came,1633
frommost,1
apartment,292
complexwhere,1
lahaie,5
held,285
medical,175
group,1212
treating,37
number,939
similar,768
conditionanywayshe,1
escapes,144
monolithic,4
office,482
tower,49
affected,114
heldon,1
highway,50
outside,573
townshe,1
meets,622
manwho,1
stops,141
picks,144
upnight,1
plenty,581
nudityunfortunately,1
pace,533
extremely,1057
slowthe,5
horribly,228
sad,927
asylum,82
inmate,23
dominique,19
journet,2
welldevelopedstill,1
dull,757
completely,1921
enjoyablegive,1
look,4071
jean,290
works7,1
10,2098
idiosyncratic,17
guard,147
exceptional,153
foray,21
science,486
fiction,457
territory,133
single,832
diaphanously,1
gowned,2
girl,2433
sight,291
tradition,141
budget,1604
proved,207
tight,190
directors,831
vision,258
entirely,503
yet,2647
largely,200
compensated,10
cinema,1311
dedication,44
craft,111
sheer,259
ingenuity,24
jeanclaude,20
coutys,1
atmospheric,121
foreboding,33
philippe,27
bréjean,1
aka,228
gary,263
sandeur,1
contributes,42
startling,57
fortunately,150
resemble,69
sappy,84
composed,91
hardcorebr,2
shot,1946
paris,385
block,91
hours,926
regulars,30
rollin,11
already,1274
michel,35
gentil,1
cashgathering,1
xxx,22
efforts,275
notably,105
fck,17
royalty,20
demanding,73
elisabeth,22
rather,2534
shes,1275
picked,331
wandering,85
nearby,122
robert,1049
vincent,166
gardère,1
driving,304
barely,465
piece,1471
string,144
lose,299
memories,287
occur,118
forgetting,40
roberts,235
name,1569
savior,15
role,2978
flight,190
comes,2260
prior,189
rightfully,37
describes,102
virgin,92
brigittes,2
thespian,20
skills,226
handle,166
active,72
adult,400
actresses,308
70s,544
recall,228
touch,433
preceding,30
nifty,48
bit,2861
context,233
relatively,196
eschews,5
gratuity,3
commercial,241
interludes,19
include,359
works,1158
assure,73
fundingbr,2
inevitably,67
erased,17
elisabeths,1
feeble,38
mysterious,378
doctor,732
comedian,157
bernard,88
papineau,1
effectively,182
menacing,101
assistant,177
solange,5
striking,126
starlet,21
rachel,101
mhas,1
move,724
protectors,3
absence,97
turns,1158
escaped,126
strongest,76
reintroduced,4
roommate,47
catherine,176
cathérine,1
greiner,1
hardcore,138
performer,101
cathy,24
stewart,253
quietly,70
devastating,64
turn,1278
girls,1235
supplying,13
fictitious,36
shared,66
bid,19
outrun,12
inevitable,122
fate,223
deterioration,11
solely,107
limited,279
served,176
lunch,73
catherines,14
unable,246
movements,102
eat,249
spoonful,4
soup,41
voice,956
filmmakers,613
compromise,27
commerce,7
urges,21
naked,412
physical,308
faculties,9
deserted,65
thembr,287
several,1430
explicit,109
midsection,6
aficionados,23
likes,492
alain,33
plumey,2
cyril,8
val,55
jacques,32
gateau,2
elodie,1
delage,1
blink,43
miss,840
future,732
porno,126
princess,153
marilyn,34
jess,47
rape,248
hands,643
mouth,277
member,316
present,531
rarely,306
screened,49
filles,2
traquees,1
pivotal,41
véronique,2
whom,637
seeks,95
anew,10
beautifully,424
handled,185
exquisite,65
unforgettable,131
sizable,6
supporting,724
franco,121
zeffirellis,6
la,555
traviata,2
six,342
feet,266
reveals,165
deteriorating,11
condition,141
result,616
nuclear,208
spill,18
quarantined,2
patients,105
ultimately,451
leaving,457
breathing,40
empty,242
shell,91
unceremoniously,8
disposed,14
fiery,29
furnace,12
particularly,989
heartbreaking,90
variation,54
chaplins,78
approaching,60
meltdown,23
wounded,102
stumble,65
railroad,52
bridge,126
clumsily,26
clasping,1
each,2610
outstretched,4
surprised,780
enjoyed,1162
slow,926
else,1855
nudity,486
nothing,3994
includes,271
lots,834
gorgeous,318
spectacularly,30
eroticised,1
female,912
dead,1689
dodgey,1
scifi,700
storyline,755
brief,391
explanation,296
wouldnt,1039
bother,488
exploration,71
memory,306
extent,151
dvd,2418
sleeve,35
mentions,72
david,1004
cronenberg,61
whilst,289
similarity,35
seemingly,366
architecture,30
creepy,553
inside,665
tried,809
indicate,43
rip,191
roaring,22
thriller,741
captivating,86
nightmare,181
railway,36
knowing,377
impressedbr,13
essentially,261
mysterythriller,3
rescued,58
happens,1113
fast,643
lovers,272
figure,653
vague,109
flashbacks,244
grim,94
eventually,683
bottom,399
pretty,3553
coolbr,16
liked,1420
desolate,36
postmodern,27
gray,113
skies,27
tall,125
buildings,113
metropolitan,12
groovy,21
nuditybr,11
surprising,298
1980,93
ahead,326
timebr,356
8,423
kids,1840
seem,2044
fests,5
sort,1436
major,936
minus,72
biomechanical,2
nightmarish,38
subtitles,236
across,1004
woman,2328
slippers,1
bathrobe,6
lingers,24
wearing,326
right,3052
forgets,44
quickly,618
prevent,112
return,513
strangers,127
huge,968
building,398
referred,78
least,2964
problems,851
reason,2161
march,90
involve,105
whats,874
manage,270
call,939
rescue,237
strange,865
avoiding,57
formula,203
created,543
fascinating,357
disturbing,421
cartoon,520
days,1287
felix,59
talks,237
using,730
bubbles,14
animation,585
style,1394
crude,143
compared,488
today,926
contemporaries,21
holds,305
funnybr,111
shoe,54
business,582
folding,6
sell,241
shoes,128
hollywood,1623
tells,807
shop,272
spreads,16
chewing,37
gum,22
town,1116
stuck,329
shoesrushing,1
buy,758
ones,1121
store,515
gratitude,9
gives,1492
500,57
felixs,4
owner,237
wants,1239
alone,875
figures,163
alongbr,19
barges,5
studio,440
nuisance,14
versions,160
comics,96
turpin,10
charlie,368
chaplin,231
luck,214
discovered,243
offered,157
contract,72
hurray,5
viewed,236
restored,62
silent,420
era,500
hollywoods,83
famous,701
cameo,223
appearances,148
enthusiast,26
gem,343
erait,3
rediscovered,9
broadcast,131
likely,450
decades,177
everbr,64
enjoyable,776
varied,45
cameosdouglas,1
fairbanks,19
attacked,149
giant,445
mosquitos,1
hays,15
pays,101
visit,233
boss,323
static,88
studios,224
keaton,147
s,157
hart,78
image,377
decimating,1
populace,24
moneymaking,5
idea,1972
nearbankrupt,1
shoesalesman,1
describedit,1
terrific,399
proof,153
sound,1468
color,324
requirements,15
quality,1237
uses,505
gags,309
devices,66
standard,406
caricatures,47
celebrities,39
aforementioned,105
speak,531
balloons,14
newspapers,29
comic,732
strip,102
natural,377
harmonious,6
adding,173
dimension,79
literally,453
figuratively,11
delight,141
taking,913
effort,729
rehearse,6
lines,1481
ham,68
kingdom,71
sandwich,33
dramatic,531
sacrifice,85
looks,2097
nuts,85
shrugs,6
shoulders,59
ye,17
forth,188
finance,28
thinks,459
moneybr,51
minutes,2827
spots,130
putting,335
bankrupt,18
sale,68
plan,405
bail,13
promises,97
cat,388
worksbr,27
outrageous,143
transforms,41
briefcase,7
transforming,20
therebr,127
then,7739
witness,204
audition,47
funny,4243
imitation,76
addition,295
executives,42
material,687
95,70
minute,647
extra,329
25,188
assuming,72
shorts,198
seven,281
lengthbr,6
rate,483
laughs,604
zany,49
sword,131
duel,34
mosquitoes,2
crazy,581
whether,815
larry,249
hama,2
cartoons,215
said,2078
file,39
cards,109
count,329
somethingbr,45
fans,1287
continuation,29
insane,262
cobra,77
commanderbr,2
favorites,196
irritated,36
duke,94
charge,169
tons,116
officers,130
insteadbr,40
battle,633
sequences,667
series,2902
trick,125
cgi,332
overthetop,175
errol,68
flynns,27
roguish,5
charm,339
shines,130
entertaining,1425
exciting,455
historically,110
infamous,114
general,704
custer,141
west,423
civil,205
horn,51
butting,2
rival,137
arthur,213
kennedy,170
romancing,13
olivia,86
de,543
havillandbr,2
flynn,118
flamboyant,39
basically,883
custerbr,1
lavish,41
technicolor,50
directed,1125
raoul,37
walsh,53
died,537
boots,78
features,648
wellstaged,4
anthony,238
quinn,116
horsebr,6
previous,651
jeb,10
stuart,80
opposite,301
ronald,78
reagans,7
george,777
santa,72
fe,15
trail,149
havilland,31
actionpacked,33
warner,149
brothers,491
designed,155
fail,243
tampered,8
considerably,68
walshs,11
firstrate,46
western,696
inaccurate,80
wholly,61
exhilarating,23
biography,79
cavalry,51
officer,283
armstrong,57
chronicles,44
arrives,196
academy,266
indians,147
massacre,202
signature,28
epics,43
teamed,35
often,1495
afterward,70
reunited,26
interest,906
appeared,331
couple,1708
140minute,1
white,1179
oater,9
dynamic,86
stern,39
confrontations,20
adversaries,13
notorious,101
errors,108
involves,243
colonel,106
philip,109
sheridan,29
commandant,6
indeed,651
lieutenant,57
e,113
lee,492
showed,448
lapse,20
concerns,129
whitfield,7
scott,444
commander,97
union,176
troops,72
presented,380
drinker,7
probably,2754
reputation,173
drinking,161
neither,490
drank,16
nor,593
smoked,13
nevertheless,213
goofs,35
splendid,81
riding,138
military,388
arrayed,1
fancy,121
dress,177
uniform,46
africanamerican,45
carrying,146
luggage,11
tending,10
dogs,259
sergeant,60
realizes,177
honor,133
plebe,2
highranking,6
ranking,22
cadet,6
ned,43
sharp,224
city,1096
conquest,19
practical,65
installing,8
quarters,42
romulus,3
taipe,8
stanley,82
ridges,5
task,176
force,499
promptly,41
runs,408
naturally,266
volatile,16
attacks,164
public,515
brawl,19
phil,104
litel,4
katie,34
elder,57
prepared,205
dismiss,41
conduct,30
unbecoming,4
expel,2
enrolled,6
enrolls,4
establishes,26
mediocre,320
academic,33
alacrity,1
fight,1034
accumulate,6
demerits,4
galore,29
erupts,12
graduates,17
cadets,8
completed,81
education,107
rushes,28
combat,116
hustled,4
avid,68
encounters,119
elizabeth,218
libby,27
bacon,52
pledge,16
mr,1348
gene,170
lockhart,4
carousel,9
detests,4
ran,241
saloon,28
insulted,50
custers,33
reprimanded,3
baconbr,1
meanwhile,261
washington,138
transfer,75
regiment,11
cooling,5
heels,41
befriends,57
rotund,6
winfield,6
sidney,92
greenstreet,42
maltese,10
falcon,54
share,334
appetite,27
creamed,3
bermuda,13
onions,8
characteristics,49
assigns,7
appropriates,1
taipes,1
horse,309
command,82
bull,90
run,1173
21,45
july,65
1861,5
disobeys,5
orders,105
none,912
strikes,100
superior,284
infantry,13
cross,255
shoulder,83
sent,374
hospital,393
receives,79
medal,17
courtmartial,4
confederate,37
army,442
gettysburg,8
pennsylvania,23
shocked,225
south,434
brigadier,6
goads,5
promoting,32
mistake,339
promoted,49
incredulous,12
embraces,24
cracks,42
stuarts,2
advance,93
idles,2
boozing,8
boys,789
local,867
saloons,1
crooked,59
promoter,8
enlist,20
serve,182
president,260
obtain,41
funds,35
intercedes,4
behalf,31
duty,130
7th,31
finds,839
drunken,103
commands,26
liquor,16
fort,69
guns,237
navarone,3
custody,45
adversary,15
fightbr,5
quelled,1
government,418
agent,357
conspire,17
destroy,235
peace,187
treaty,12
sioux,11
indian,413
nations,69
charges,40
discovers,232
perfidy,2
drummed,8
gold,318
strike,97
sacred,29
hills,118
settlers,26
rampage,42
hit,925
warpath,5
sacrifices,40
600,12
slambang,3
showdown,75
6000,12
redskins,3
stagecoach,30
lenser,2
bert,26
glennon,2
captures,182
grit,35
glory,130
dawn,143
spectacular,236
added,454
premonition,6
imminent,17
demise,70
faints,4
benefits,53
topnotch,71
max,292
steiner,16
score,1064
incorporates,24
regimental,1
tune,153
owen,130
perspective,201
adventure,411
premiere,98
